Date,Open,High,Low,Close,Adj Close,Volume
1999-08-16,119.502869,123.924477,115.738525,116.395790,70.472801,31565874
1999-08-23,117.351814,120.339386,115.559273,118.546844,71.775154,32999732
1999-08-30,118.785851,124.043976,117.292068,123.192520,74.587921,29411218
1999-09-06,123.207458,131.632416,122.729446,129.063095,78.142303,29571885
1999-09-13,128.704590,129.600861,118.307838,119.861374,72.571053,37278185
1999-09-20,120.936905,125.119499,115.141014,119.502869,72.354012,39391628
1999-09-27,121.056404,121.235657,110.420647,112.571701,68.157463,42002653
1999-10-04,112.810707,117.829826,106.178299,108.508606,65.697441,56107962
1999-10-11,108.508606,111.555923,99.306885,103.130974,62.441521,61940145
1999-10-18,103.250481,108.090347,85.086044,89.806404,54.374023,132165342
1999-10-25,90.105164,94.646271,88.073616,93.929253,56.870251,58083751
1999-11-01,94.168259,94.467018,86.042068,86.281075,52.239605,64288730
1999-11-08,86.520073,93.212234,86.520073,91.658699,55.495480,45573906
1999-11-15,91.778206,100.501915,88.551628,99.366638,60.242466,64382136
1999-11-22,100.860420,105.043022,97.335083,100.382408,60.858288,38875217
1999-11-29,100.322655,107.911087,97.633842,106.955070,64.843010,39402819
1999-12-06,108.030594,116.754303,102.832214,104.206497,63.176689,61322797
1999-12-13,103.369980,107.791588,99.904396,105.162521,63.756283,40595364
1999-12-20,104.266251,105.580788,103.011475,103.847992,62.959324,18978729
1999-12-27,104.863770,105.879539,101.935944,103.130974,62.524620,17585876
2000-01-03,107.492828,114.483749,105.760040,108.508606,65.784920,53489615
2000-01-10,112.093689,117.889580,110.301147,114.364243,69.334969,44626440
2000-01-17,114.423996,119.263863,107.731834,116.156792,70.421722,43859302
2000-01-24,116.515297,117.471321,105.222275,106.656311,64.661964,34858159
2000-01-31,106.477058,113.228966,104.326004,110.540154,67.016518,34344573
2000-02-07,110.898659,114.483749,108.150093,110.301147,66.871658,28047967
2000-02-14,110.898659,113.647224,106.596558,107.552582,65.273903,27822867
2000-02-21,107.074570,108.448853,100.322655,103.250481,62.662983,36101958
2000-02-28,100.023903,105.162521,95.124283,103.250481,62.662983,53480201
2000-03-06,105.102776,106.118546,96.558319,100.621414,61.067368,44545165
2000-03-13,99.426384,106.775810,97.992355,105.162521,63.823387,38691958
2000-03-20,105.162521,116.873802,105.102776,115.320267,69.988152,39843082
2000-03-27,119.502869,122.609940,111.914436,113.169212,68.682655,46544908
2000-04-03,114.722755,122.370934,110.002388,117.710327,71.438690,49521824
2000-04-10,119.263863,119.861374,98.350861,100.382408,60.922352,44088481
2000-04-17,99.306885,110.062141,97.574089,99.426384,60.342117,45483009
2000-04-24,97.514343,108.926865,96.797325,106.596558,64.693733,37120867
2000-05-01,107.552582,108.628105,101.816444,103.130974,62.590450,23170261
2000-05-08,103.310226,105.760040,97.574089,99.844643,60.595978,34947277
2000-05-15,99.426384,104.445503,97.514343,101.756691,61.830887,31060447
